flavor,mass_GeV,boundary,baseline_u2,baseline_open,item,classification,scenario_low_shift_pct,scenario_high_shift_pct,low_boundary_exists,high_boundary_exists,note
Ue,0.2,upper,,True,missing_neutral_kaon_production,unknowable; additive proxy,,,False,False,"Add 5-50% of the charged-kaon accepted yield below the K0 semileptonic endpoint as a K0S/K0L production proxy. Neutral-kaon flux and transport are absent, so this is one-sided and not a calculation."
Ue,0.2,lower,2.865227084036974e-07,False,charged_kaon_parent_transport,unknowable; transport scenario,208.3255054615488,19.523691414836453,True,True,Retain 10-70% of the current charged-kaon yield as a parent-flight/magnetic-bending/material-survival scenario. The present code decays every kaon at the IP and therefore cannot determine this correction.
Ue,0.2,upper,,True,charged_kaon_parent_transport,unknowable; transport scenario,,,False,False,Retain 10-70% of the current charged-kaon yield as a parent-flight/magnetic-bending/material-survival scenario. The present code decays every kaon at the IP and therefore cannot determine this correction.
Ue,0.2,lower,2.865227084036974e-07,False,legacy_direct_form_factors,code-audit envelope,0.11783576123260975,-0.13177920181228764,True,True,"Scale direct B/D/Bc rates by 0.6-1.45, matching the size of the code-level SM-limit normalization discrepancies found in the audited channels."
Ue,0.2,upper,,True,legacy_direct_form_factors,code-audit envelope,,,False,False,"Scale direct B/D/Bc rates by 0.6-1.45, matching the size of the code-level SM-limit normalization discrepancies found in the audited channels."
Ue,0.2,lower,2.865227084036974e-07,False,fragmentation_fraction_extrapolation,literature-informed range,0.04409783789680599,-0.044005387895584835,True,True,Scale B/D channels by 0.85-1.15 for acceptance extrapolation and fraction uncertainty; this does not replace differential fragmentation inputs.
Ue,0.2,upper,,True,fragmentation_fraction_extrapolation,literature-informed range,,,False,False,Scale B/D channels by 0.85-1.15 for acceptance extrapolation and fraction uncertainty; this does not replace differential fragmentation inputs.
Ue,0.2,lower,2.865227084036974e-07,False,production_spin_and_residual_angles,proxy/reweight estimate,0.044523249716887925,-0.044429009287716426,True,True,"Scale all analytic hadron/tau channels by 0.85-1.15 as an acceptance proxy for omitted multidimensional correlations. Tau two-body decays use a fixed longitudinal asymmetry parameter, not an event-level true helicity model."
Ue,0.2,upper,,True,production_spin_and_residual_angles,proxy/reweight estimate,,,False,False,"Scale all analytic hadron/tau channels by 0.85-1.15 as an acceptance proxy for omitted multidimensional correlations. Tau two-body decays use a fixed longitudinal asymmetry parameter, not an event-level true helicity model."
Ue,0.2,lower,2.865227084036974e-07,False,missing_tau_multihadron_modes,proxy/reweight estimate,-0.00013711660877824272,-0.0006855740867894866,True,True,Add 5-25% to prompt and induced tau channels for omitted a1/3pi and other multi-hadron tau-to-N modes. One-sided branching/phase-space proxy.
Ue,0.2,upper,,True,missing_tau_multihadron_modes,proxy/reweight estimate,,,False,False,Add 5-25% to prompt and induced tau channels for omitted a1/3pi and other multi-hadron tau-to-N modes. One-sided branching/phase-space proxy.
Ue,0.2,lower,2.865227084036974e-07,False,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,-0.02574347530516219,-0.10278480160788028,True,True,Add 10-40% to D production and 5-20% to B production for unlisted exclusive modes and weak heavy-hadron cascades. Proxy only; overlaps must be removed in a real inclusive bookkeeping audit.
Ue,0.2,upper,,True,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,,,False,False,Add 10-40% to D production and 5-20% to B production for unlisted exclusive modes and weak heavy-hadron cascades. Proxy only; overlaps must be removed in a real inclusive bookkeeping audit.
Ue,0.2,lower,2.865227084036974e-07,False,flat_ew_kfactor_and_wz_mixture,literature-informed range,4.4076579497343005e-06,-4.407657161475953e-06,True,True,Scale WZ and prompt-tau yields by 0.85-1.15 around the flat K=1.3 model.
Ue,0.2,upper,,True,flat_ew_kfactor_and_wz_mixture,literature-informed range,,,False,False,Scale WZ and prompt-tau yields by 0.85-1.15 around the flat K=1.3 model.
Ue,0.2,lower,2.865227084036974e-07,False,induced_tau_branching_inputs,literature-informed range,0.00040958284286407576,-0.0004095748508459174,True,True,Aggregate central-value uncertainty proxy; source correlations absent.
Ue,0.2,upper,,True,induced_tau_branching_inputs,literature-informed range,,,False,False,Aggregate central-value uncertainty proxy; source correlations absent.
Ue,0.2,lower,2.865227084036974e-07,False,visible_branching_fraction,literature-informed range,5.510050726932603,-4.715480303557551,True,True,Scale all yields by 0.9-1.1.
Ue,0.2,upper,,True,visible_branching_fraction,literature-informed range,,,False,False,Scale all yields by 0.9-1.1.
Ue,0.2,lower,2.865227084036974e-07,False,hnlcalc_hadron_parton_matching,proxy/reweight estimate; overlaps other rows,0.0,0.0,True,True,"Apply 0.7-1.3 to total yield for 0.8-2 GeV as a proxy for HNLCalc's exclusive-hadron/inclusive-parton transition. Kept separate from the combined RSS because it overlaps lifetime, BRvis, and form-factor rows."
Ue,0.2,upper,,True,hnlcalc_hadron_parton_matching,proxy/reweight estimate; overlaps other rows,,,False,False,"Apply 0.7-1.3 to total yield for 0.8-2 GeV as a proxy for HNLCalc's exclusive-hadron/inclusive-parton transition. Kept separate from the combined RSS because it overlaps lifetime, BRvis, and form-factor rows."
Ue,0.2,lower,2.865227084036974e-07,False,higgs_mediated_production,quantitatively dismissed; WZ-shape upper-bound proxy,0.0,-2.5368596112684827e-11,True,True,"Upper-bound proxy using sigma(pp->h)=60 pb, Gamma_h=4.07 MeV and Gamma(h->Nnu)/U2 = mN^2 mh/(8 pi v^2). It remains below the percent level of the saved WZ normalization over 0.2-10 GeV. Proxy Higgs/WZ=1.440e-06."
Ue,0.2,upper,,True,higgs_mediated_production,quantitatively dismissed; WZ-shape upper-bound proxy,,,False,False,"Upper-bound proxy using sigma(pp->h)=60 pb, Gamma_h=4.07 MeV and Gamma(h->Nnu)/U2 = mN^2 mh/(8 pi v^2). It remains below the percent level of the saved WZ normalization over 0.2-10 GeV. Proxy Higgs/WZ=1.440e-06."
Ue,0.2,lower,2.865227084036974e-07,False,csv_8_digit_serialization,quantitatively dismissed by rounding bound,1.062662429163197e-05,-1.0626619084685984e-05,True,True,"A 10k-event test at mN=0.2, 1, and 4 GeV for all flavors found zero geometry-hit changes when degrading 8 to 6 significant digits; the largest resolved boundary shift was 0.00157%. Eight-digit effects are therefore assigned a conservative 1e-5% envelope."
Ue,0.2,upper,,True,csv_8_digit_serialization,quantitatively dismissed by rounding bound,,,False,False,"A 10k-event test at mN=0.2, 1, and 4 GeV for all flavors found zero geometry-hit changes when degrading 8 to 6 significant digits; the largest resolved boundary shift was 0.00157%. Eight-digit effects are therefore assigned a conservative 1e-5% envelope."
Ue,0.2,lower,2.865227084036974e-07,False,integrated_luminosity,"direct normalization, assumed 1.5%",0.8124159686497379,-0.7821435695918311,True,True,HL-LHC luminosity calibration scenario.
Ue,0.2,upper,,True,integrated_luminosity,"direct normalization, assumed 1.5%",,,False,False,HL-LHC luminosity calibration scenario.
Ue,0.2,lower,2.865227084036974e-07,False,detector_reconstruction_efficiency,unknowable; efficiency scenario,41.29153058049513,0.0,True,True,Scale all yields by 0.5-1.0. Unknowable without detector simulation; shown only as a design scenario.
Ue,0.2,upper,,True,detector_reconstruction_efficiency,unknowable; efficiency scenario,,,False,False,Scale all yields by 0.5-1.0. Unknowable without detector simulation; shown only as a design scenario.
Ue,0.2,lower,2.865227084036974e-07,False,nonzero_background_threshold,direct threshold response; background unknowable,29.10650011376945,82.40526086158457,True,True,"Recompute boundaries at 5 and 10 events instead of 3. Direct response, but the thresholds are scenarios because no background model exists."
Ue,0.2,upper,,True,nonzero_background_threshold,direct threshold response; background unknowable,,,False,False,"Recompute boundaries at 5 and 10 events instead of 3. Direct response, but the thresholds are scenarios because no background model exists."
Ue,0.2,lower,2.865227084036974e-07,False,production_mc_statistical,directly calculable now,11.178459983349697,-8.214171923975389,True,True,Approximate 1-sigma accepted-yield error=19.234%.
Ue,0.2,lower,2.865227084036974e-07,False,current_code_rerun_proxy,direct code calculation; finite-MC proxy,-0.01987506264824468,-0.01987506264824468,True,True,Replace the saved induced-tau contribution with the current implementation and add the new Lambda_b channel. Direct code calculation with 5k-event geometry subsamples.
Ue,0.2,upper,,True,current_code_rerun_proxy,direct code calculation; finite-MC proxy,,,False,False,Replace the saved induced-tau contribution with the current implementation and add the new Lambda_b channel. Direct code calculation with 5k-event geometry subsamples.
Ue,0.2,lower,2.865227084036974e-07,False,hnl_lifetime_width,physics-scaling proxy,-10.557280900008415,9.544511501033215,True,True,"ctau x[0.8,1.2]; local dlnN/dlnU2=1.942."
Ue,0.2,lower,2.865227084036974e-07,False,visible_decay_topology_acceptance,unknowable; acceptance scenario,19.653868293011854,-12.314241583363916,True,True,Proxy for replacing the isotropic e+e- two-body acceptance with channel-complete visible decays and HNL polarization.
Ue,0.2,upper,,True,visible_decay_topology_acceptance,unknowable; acceptance scenario,,,False,False,Proxy for replacing the isotropic e+e- two-body acceptance with channel-complete visible decays and HNL polarization.
Ue,0.215,lower,1.9965049508021017e-07,False,fonll_charm_scale_pdf,literature-informed range,0.07014930642048611,-0.08736782976430657,True,True,Scale D-meson production by 0.6-1.5; scale the induced-tau channel by the 57.4% charm-source fraction of the current tau pool. Literature-informed envelope pending actual seven-point/PDF grids.
Ue,0.215,upper,,True,fonll_charm_scale_pdf,literature-informed range,,,False,False,Scale D-meson production by 0.6-1.5; scale the induced-tau channel by the 57.4% charm-source fraction of the current tau pool. Literature-informed envelope pending actual seven-point/PDF grids.
Ue,0.215,lower,1.9965049508021017e-07,False,fonll_bottom_scale_pdf,literature-informed range,0.01870889980692958,-0.01869272967373048,True,True,Scale B-meson production by 0.7-1.3 and the bottom-source share of induced taus. Literature-informed envelope pending actual grids.
Ue,0.215,upper,,True,fonll_bottom_scale_pdf,literature-informed range,,,False,False,Scale B-meson production by 0.7-1.3 and the bottom-source share of induced taus. Literature-informed envelope pending actual grids.
Ue,0.215,lower,1.9965049508021017e-07,False,missing_charm_baryon_channels,proxy/reweight estimate,-0.02597643688552198,-0.08646695529237469,True,True,Add 15-50% of the D-meson accepted yield as a proxy for omitted Lambda_c/Xi_c HNL production. The range is not a calculation.
Ue,0.215,upper,,True,missing_charm_baryon_channels,proxy/reweight estimate,,,False,False,Add 15-50% of the D-meson accepted yield as a proxy for omitted Lambda_c/Xi_c HNL production. The range is not a calculation.
Ue,0.215,lower,1.9965049508021017e-07,False,bc_spectrum_and_normalization,unknowable; factor scenario,3.765487874840545e-05,-7.530956034340619e-05,True,True,Scale Bc by 0.5-2.0. This is a scenario because neither its 14 TeV normalization nor its borrowed spectrum is validated.
Ue,0.215,upper,,True,bc_spectrum_and_normalization,unknowable; factor scenario,,,False,False,Scale Bc by 0.5-2.0. This is a scenario because neither its 14 TeV normalization nor its borrowed spectrum is validated.
Ue,0.215,lower,1.9965049508021017e-07,False,kaon_spectrum_and_normalization,unknowable; factor scenario,40.78298048639808,-29.272791372407248,True,True,Scale K production by 0.5-2.0. This is a scenario because the current Tsallis/Gaussian spectrum and 300 mb normalization are not data-derived.
Ue,0.215,upper,,True,kaon_spectrum_and_normalization,unknowable; factor scenario,,,False,False,Scale K production by 0.5-2.0. This is a scenario because the current Tsallis/Gaussian spectrum and 300 mb normalization are not data-derived.
Ue,0.215,lower,1.9965049508021017e-07,False,missing_neutral_kaon_production,unknowable; additive proxy,-2.5834464928332745,-18.446068820989325,True,True,"Add 5-50% of the charged-kaon accepted yield below the K0 semileptonic endpoint as a K0S/K0L production proxy. Neutral-kaon flux and transport are absent, so this is one-sided and not a calculation."
Ue,0.215,upper,,True,missing_neutral_kaon_production,unknowable; additive proxy,,,False,False,"Add 5-50% of the charged-kaon accepted yield below the K0 semileptonic endpoint as a K0S/K0L production proxy. Neutral-kaon flux and transport are absent, so this is one-sided and not a calculation."
Ue,0.215,lower,1.9965049508021017e-07,False,charged_kaon_parent_transport,unknowable; transport scenario,209.91030586625675,19.2020646337385,True,True,Retain 10-70% of the current charged-kaon yield as a parent-flight/magnetic-bending/material-survival scenario. The present code decays every kaon at the IP and therefore cannot determine this correction.
Ue,0.215,upper,,True,charged_kaon_parent_transport,unknowable; transport scenario,,,False,False,Retain 10-70% of the current charged-kaon yield as a parent-flight/magnetic-bending/material-survival scenario. The present code decays every kaon at the IP and therefore cannot determine this correction.
Ue,0.215,lower,1.9965049508021017e-07,False,legacy_direct_form_factors,code-audit envelope,0.09394321232538694,-0.10520059407732596,True,True,"Scale direct B/D/Bc rates by 0.6-1.45, matching the size of the code-level SM-limit normalization discrepancies found in the audited channels."
Ue,0.215,upper,,True,legacy_direct_form_factors,code-audit envelope,,,False,False,"Scale direct B/D/Bc rates by 0.6-1.45, matching the size of the code-level SM-limit normalization discrepancies found in the audited channels."
Ue,0.215,lower,1.9965049508021017e-07,False,fragmentation_fraction_extrapolation,literature-informed range,0.035169637367582496,-0.03511253912830137,True,True,Scale B/D channels by 0.85-1.15 for acceptance extrapolation and fraction uncertainty; this does not replace differential fragmentation inputs.
Ue,0.215,upper,,True,fragmentation_fraction_extrapolation,literature-informed range,,,False,False,Scale B/D channels by 0.85-1.15 for acceptance extrapolation and fraction uncertainty; this does not replace differential fragmentation inputs.
Ue,0.215,lower,1.9965049508021017e-07,False,production_spin_and_residual_angles,proxy/reweight estimate,0.035656008384443716,-0.03559732128698423,True,True,"Scale all analytic hadron/tau channels by 0.85-1.15 as an acceptance proxy for omitted multidimensional correlations. Tau two-body decays use a fixed longitudinal asymmetry parameter, not an event-level true helicity model."
Ue,0.215,upper,,True,production_spin_and_residual_angles,proxy/reweight estimate,,,False,False,"Scale all analytic hadron/tau channels by 0.85-1.15 as an acceptance proxy for omitted multidimensional correlations. Tau two-body decays use a fixed longitudinal asymmetry parameter, not an event-level true helicity model."
Ue,0.215,lower,1.9965049508021017e-07,False,missing_tau_multihadron_modes,proxy/reweight estimate,-0.0001580924802291328,-0.0007904508455558457,True,True,Add 5-25% to prompt and induced tau channels for omitted a1/3pi and other multi-hadron tau-to-N modes. One-sided branching/phase-space proxy.
Ue,0.215,upper,,True,missing_tau_multihadron_modes,proxy/reweight estimate,,,False,False,Add 5-25% to prompt and induced tau channels for omitted a1/3pi and other multi-hadron tau-to-N modes. One-sided branching/phase-space proxy.
Ue,0.215,lower,1.9965049508021017e-07,False,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,-0.020368108315382827,-0.08135749938447123,True,True,Add 10-40% to D production and 5-20% to B production for unlisted exclusive modes and weak heavy-hadron cascades. Proxy only; overlaps must be removed in a real inclusive bookkeeping audit.
Ue,0.215,upper,,True,exclusive_channel_closure_and_weak_cascades,proxy/reweight estimate,,,False,False,Add 10-40% to D production and 5-20% to B production for unlisted exclusive modes and weak heavy-hadron cascades. Proxy only; overlaps must be removed in a real inclusive bookkeeping audit.
Ue,0.215,lower,1.9965049508021017e-07,False,flat_ew_kfactor_and_wz_mixture,literature-informed range,3.7908417960252905e-06,-3.7908410410736337e-06,True,True,Scale WZ and prompt-tau yields by 0.85-1.15 around the flat K=1.3 model.
Ue,0.215,upper,,True,flat_ew_kfactor_and_wz_mixture,literature-informed range,,,False,False,Scale WZ and prompt-tau yields by 0.85-1.15 around the flat K=1.3 model.
Ue,0.215,lower,1.9965049508021017e-07,False,induced_tau_branching_inputs,literature-informed range,0.0004727435168438987,-0.00047273318359852823,True,True,Aggregate central-value uncertainty proxy; source correlations absent.
Ue,0.215,upper,,True,induced_tau_branching_inputs,literature-informed range,,,False,False,Aggregate central-value uncertainty proxy; source correlations absent.
Ue,0.215,lower,1.9965049508021017e-07,False,visible_branching_fraction,literature-informed range,5.209433516371842,-4.89363663529282,True,True,Scale all yields by 0.9-1.1.
Ue,0.215,upper,,True,visible_branching_fraction,literature-informed range,,,False,False,Scale all yields by 0.9-1.1.
Ue,0.215,lower,1.9965049508021017e-07,False,hnlcalc_hadron_parton_matching,proxy/reweight estimate; overlaps other rows,0.0,0.0,True,True,"Apply 0.7-1.3 to total yield for 0.8-2 GeV as a proxy for HNLCalc's exclusive-hadron/inclusive-parton transition. Kept separate from the combined RSS because it overlaps lifetime, BRvis, and form-factor rows."
Ue,0.215,upper,,True,hnlcalc_hadron_parton_matching,proxy/reweight estimate; overlaps other rows,,,False,False,"Apply 0.7-1.3 to total yield for 0.8-2 GeV as a proxy for HNLCalc's exclusive-hadron/inclusive-parton transition. Kept separate from the combined RSS because it overlaps lifetime, BRvis, and form-factor rows."
Ue,0.215,lower,1.9965049508021017e-07,False,higgs_mediated_production,quantitatively dismissed; WZ-shape upper-bound proxy,0.0,-2.4946711363327267e-11,True,True,"Upper-bound proxy using sigma(pp->h)=60 pb, Gamma_h=4.07 MeV and Gamma(h->Nnu)/U2 = mN^2 mh/(8 pi v^2). It remains below the percent level of the saved WZ normalization over 0.2-10 GeV. Proxy Higgs/WZ=1.664e-06."
Ue,0.215,upper,,True,higgs_mediated_production,quantitatively dismissed; WZ-shape upper-bound proxy,,,False,False,"Upper-bound proxy using sigma(pp->h)=60 pb, Gamma_h=4.07 MeV and Gamma(h->Nnu)/U2 = mN^2 mh/(8 pi v^2). It remains below the percent level of the saved WZ normalization over 0.2-10 GeV. Proxy Higgs/WZ=1.664e-06."
Ue,0.215,lower,1.9965049508021017e-07,False,csv_8_digit_serialization,quantitatively dismissed by rounding bound,1.1038350278269604e-05,-1.1038344549518797e-05,True,True,"A 10k-event test at mN=0.2, 1, and 4 GeV for all flavors found zero geometry-hit changes when degrading 8 to 6 significant digits; the largest resolved boundary shift was 0.00157%. Eight-digit effects are therefore assigned a conservative 1e-5% envelope."
Ue,0.215,upper,,True,csv_8_digit_serialization,quantitatively dismissed by rounding bound,,,False,False,"A 10k-event test at mN=0.2, 1, and 4 GeV for all flavors found zero geometry-hit changes when degrading 8 to 6 significant digits; the largest resolved boundary shift was 0.00157%. Eight-digit effects are therefore assigned a conservative 1e-5% envelope."
Ue,0.215,lower,1.9965049508021017e-07,False,integrated_luminosity,"direct normalization, assumed 1.5%",0.8440252810956839,-0.8123241033992867,True,True,HL-LHC luminosity calibration scenario.
Ue,0.215,upper,,True,integrated_luminosity,"direct normalization, assumed 1.5%",,,False,False,HL-LHC luminosity calibration scenario.
Ue,0.215,lower,1.9965049508021017e-07,False,detector_reconstruction_efficiency,unknowable; efficiency scenario,41.09361316463615,0.0,True,True,Scale all yields by 0.5-1.0. Unknowable without detector simulation; shown only as a design scenario.
Ue,0.215,upper,,True,detector_reconstruction_efficiency,unknowable; efficiency scenario,,,False,False,Scale all yields by 0.5-1.0. Unknowable without detector simulation; shown only as a design scenario.
Ue,0.215,lower,1.9965049508021017e-07,False,nonzero_background_threshold,direct threshold response; background unknowable,29.11105823167337,82.15574862244934,True,True,"Recompute boundaries at 5 and 10 events instead of 3. Direct response, but the thresholds are scenarios because no background model exists."
Ue,0.215,upper,,True,nonzero_background_threshold,direct threshold response; background unknowable,,,False,False,"Recompute boundaries at 5 and 10 events instead of 3. Direct response, but the thresholds are scenarios because no background model exists."
Ue,0.215,lower,1.9965049508021017e-07,False,production_mc_statistical,directly calculable now,10.312083991770017,-8.130215080850345,True,True,Approximate 1-sigma accepted-yield error=18.153%.
Ue,0.215,lower,1.9965049508021017e-07,False,current_code_rerun_proxy,direct code calculation; finite-MC proxy,-0.01968781716975565,-0.01968781716975565,True,True,Replace the saved induced-tau contribution with the current implementation and add the new Lambda_b channel. Direct code calculation with 5k-event geometry subsamples.
Ue,0.215,upper,,True,current_code_rerun_proxy,direct code calculation; finite-MC proxy,,,False,False,Replace the saved induced-tau contribution with the current implementation and add the new Lambda_b channel. Direct code calculation with 5k-event geometry subsamples.
Ue,0.215,lower,1.9965049508021017e-07,False,hnl_lifetime_width,physics-scaling proxy,-10.557280900008415,9.544511501033215,True,True,"ctau x[0.8,1.2]; local dlnN/dlnU2=1.959."
Ue,0.215,lower,1.9965049508021017e-07,False,visible_decay_topology_acceptance,unknowable; acceptance scenario,19.306105510891914,-12.328279989171897,True,True,Proxy for replacing the isotropic e+e- two-body acceptance with channel-complete visible decays and HNL polarization.
Ue,0.215,upper,,True,visible_decay_topology_acceptance,unknowable; acceptance scenario,,,False,False,Proxy for replacing the isotropic e+e- two-body acceptance with channel-complete visible decays and HNL polarization.
Ue,0.23,lower,1.608347773441865e-07,False,fonll_charm_scale_pdf,literature-informed range,0.0627825348321176,-0.07818440830617002,True,True,Scale D-meson production by 0.6-1.5; scale the induced-tau channel by the 57.4% charm-source fraction of the current tau pool. Literature-informed envelope pending actual seven-point/PDF grids.
Ue,0.23,upper,,True,fonll_charm_scale_pdf,literature-informed range,,,False,False,Scale D-meson production by 0.6-1.5; scale the induced-tau channel by the 57.4% charm-source fraction of the current tau pool. Literature-informed envelope pending actual seven-point/PDF grids.
Ue,0.23,lower,1.608347773441865e-07,False,fonll_bottom_scale_pdf,literature-informed range,0.017187929594486562,-0.017172228510209386,True,True,Scale B-meson production by 0.7-1.3 and the bottom-source share of induced taus. Literature-informed envelope pending actual grids.
Ue,0.23,upper,,True,fonll_bottom_scale_pdf,literature-informed range,,,False,False,Scale B-meson production by 0.7-1.3 and the bottom-source share of induced taus. Literature-informed envelope pending actual grids.
Ue,0.23,lower,1.608347773441865e-07,False,missing_charm_baryon_channels,proxy/reweight estimate,-0.023307158370844405,-0.07757830809693722,True,True,Add 15-50% of the D-meson accepted yield as a proxy for omitted Lambda_c/Xi_c HNL production. The range is not a calculation.
Ue,0.23,upper,,True,missing_charm_baryon_channels,proxy/reweight estimate,,,False,False,Add 15-50% of the D-meson accepted yield as a proxy for omitted Lambda_c/Xi_c HNL production. The range is not a calculation.
Ue,0.23,lower,1.608347773441865e-07,False,bc_spectrum_and_normalization,unknowable; factor scenario,3.2125698545826253e-05,-6.425123261211141e-05,True,True,Scale Bc by 0.5-2.0. This is a scenario because neither its 14 TeV normalization nor its borrowed spectrum is validated.
Ue,0.23,upper,,True,bc_spectrum_and_normalization,unknowable; factor scenario,,,False,False,Scale Bc by 0.5-2.0. This is a scenario because neither its 14 TeV normalization nor its borrowed spectrum is validated.
Ue,0.23,lower,1.608347773441865e-07,False,kaon_spectrum_and_normalization,unknowable; factor scenario,41.276547917657915,-29.309069188952275,True,True,Scale K production by 0.5-2.0. This is a scenario because the current Tsallis/Gaussian spectrum and 300 mb normalization are not data-derived.
Ue,0.23,upper,,True,kaon_spectrum_and_normalization,unknowable; factor scenario,,,False,False,Scale K production by 0.5-2.0. This is a scenario because the current Tsallis/Gaussian spectrum and 300 mb normalization are not data-derived.
Ue,0.23,lower,1.608347773441865e-07,False,missing_neutral_kaon_production,unknowable; additive proxy,-2.1711614367375343,-18.38844925155727,True,True,"Add 5-50% of the charged-kaon accepted yield below the K0 semileptonic endpoint as a K0S/K0L production proxy. Neutral-kaon flux and transport are absent, so this is one-sided and not a calculation."
Ue,0.23,upper,,True,missing_neutral_kaon_production,unknowable; additive proxy,,,False,False,"Add 5-50% of the charged-kaon accepted yield below the K0 semileptonic endpoint as a K0S/K0L production proxy. Neutral-kaon flux and transport are absent, so this is one-sided and not a calculation."
Ue,0.23,lower,1.608347773441865e-07,False,charged_kaon_parent_transport,unknowable; transport scenario,210.24362321571712,19.24908775182981,True,True,Retain 10-70% of the current charged-kaon yield as a parent-flight/magnetic-bending/material-survival scenario. The present code decays every kaon at the IP and therefore cannot determine this correction.
Ue,0.23,upper,,True,charged_kaon_parent_transport,unknowable; transport scenario,,,False,False,Retain 10-70% of the current charged-kaon yield as a parent-flight/magnetic-bending/material-survival scenario. The present code decays every kaon at the IP and therefore cannot determine this correction.
Ue,0.23,lower,1.608347773441865e-07,False,legacy_direct_form_factors,code-audit envelope,0.08495361297466975,-0.0951160992315625,True,True,"Scale direct B/D/Bc rates by 0.6-1.45, matching the size of the code-level SM-limit normalization discrepancies found in the audited channels."
Ue,0.23,upper,,True,legacy_direct_form_factors,code-audit envelope,,,False,False,"Scale direct B/D/Bc rates by 0.6-1.45, matching the size of the code-level SM-limit normalization discrepancies found in the audited channels."
Ue,0.23,lower,1.608347773441865e-07,False,fragmentation_fraction_extrapolation,literature-informed range,0.031803025071575064,-0.03174931173570705,True,True,Scale B/D channels by 0.85-1.15 for acceptance extrapolation and fraction uncertainty; this does not replace differential fragmentation inputs.
Ue,0.23,upper,,True,fragmentation_fraction_extrapolation,literature-informed range,,,False,False,Scale B/D channels by 0.85-1.15 for acceptance extrapolation and fraction uncertainty; this does not replace differential fragmentation inputs.
Ue,0.23,lower,1.608347773441865e-07,False,production_spin_and_residual_angles,proxy/reweight estimate,0.03213259769410115,-0.03207776629450265,True,True,"Scale all analytic hadron/tau channels by 0.85-1.15 as an acceptance proxy for omitted multidimensional correlations. Tau two-body decays use a fixed longitudinal asymmetry parameter, not an event-level true helicity model."
Ue,0.23,upper,,True,production_spin_and_residual_angles,proxy/reweight estimate,,,False,False,"Scale all analytic hadron/tau channels by 0.85-1.15 as an acceptance proxy for omitted multidimensional correlations. Tau two-body decays use a fixed longitudinal asymmetry parameter, not an event-level true helicity model."
